Loc ID,Route,BMP,Start,EMP,End,K Factor %,D Factor %,T Factor %,AADT_1-AADT 2022,AADT_2-AADT 2042
100001,I-8,0,California State Line - Yuma,0.5,E Giss Pkwy,5,52,20.0,18578,26910
100002,I-8,0.6,E Giss Pkwy,2.2,US-95,11,54,19.0,26354,38174
100003,I-8,2.2,US-95,4,SR-280,5,53,14.000000000000002,40931,55462
100004,I-8,4,SR-280,7.6,Exit 7 Araby Rd,5,57,18.0,47349,68585
100005,I-8,7.6,Exit 7 Araby Rd,9.7,Exit 9 SB 8 (1) / Avenue 8 1/2 E - East of Yuma,5,53,14.000000000000002,44694,64739
100006,I-8,9.7,Exit 9 SB 8 (1) / Avenue 8 1/2 E - East of Yuma,12.3,S Fortuna Rd SB,5,51,15.0,41219,55852
100007,I-8,12.2,S Fortuna Rd SB,14.2,S Foothills Blvd,11,51,19.0,28096,42098
100008,I-8,14.2,S Foothills Blvd,21,Exit 21 Dome Valley,11,56,27.0,21810,32680
100009,I-8,21,Exit 21 Dome Valley,30.8,Exit 30 Avenue 29E - Wellton,5,56,24.0,14015,20301
100010,I-8,30.8,Exit 30 Avenue 29E - Wellton,38,S Avenue 36 E,8,67,26.0,14480,22625
100011,I-8,38,S Avenue 36 E,42.1,S Avenue 40 E,9,55,25.0,12617,18905
100012,I-8,42.1,S Avenue 40 E,54.9,I 8 Exit 54 Access Ramp,7,56,25.0,12402,18583
100013,I-8,54.9,I 8 Exit 54 Access Ramp,67.4,S Avenue 64 E,7,66,30.0,9590,14984
100014,I-8,67.4,S Avenue 64 E,73.5,Aztec Rd,6,56,23.0,11948,17903
100015,I-8,73.5,Aztec Rd,78.5,Spot Rd,7,59,25.0,10741,16094
100016,I-8,78.5,Spot Rd,87,Sentinel Rd,8,55,27.0,13859,23387
100017,I-8,87,Sentinel Rd,102.3,Painted Rock Dam Rd,7,60,36.0,13416,22640
100018,I-8,102.3,Painted Rock Dam Rd,106.5,Paloma Rd,13,52,32.0,15084,25454
100019,I-8,106.5,Paloma Rd,111.4,Citrus Valley Rd,7,59,37.0,13045,22013
100020,I-8,111.4,Citrus Valley Rd,114.3,Exit 115 SB 8 (3) - West of Gila Bend,8,63,23.0,15023,23603
100021,I-8,114.3,Exit 115 SB 8 (3) - West of Gila Bend,115.6,Exit 116 SR 85,10,64,,3752,5906
100022,I-8,115.6,Exit 116 SR 85,119.4,Exit 119 Butterfield Trail - East of Gila Bend,10,64,66.0,2935,4953
100023,I-8,119.4,Exit 119 Butterfield Trail - East of Gila Bend,140.8,I-8 Exit 140,12,60,49.0,7741,13063
100024,I-8,140.8,I-8 Exit 140,144.6,Vekol Valley Rd,7,50,42.0,7008,11826
100025,I-8,144.6,Exit 144 Vekol Rd,151.7,Exit 151 SR 84 / Maricopa Rd,7,56,40.0,6995,16042
100026,I-8,151.7,SR-84,161.6,S Stanfield Rd,11,60,50.0,7156,14557
100027,I-8,161.5,S Stanfield Rd,167.5,S Montgomery Rd,7,51,32.0,8715,19987
100028,I-8,167.5,S Montgomery Rd,169.5,S Bianco Rd,8,51,41.0,6612,15164
100029,I-8,169.5,S Bianco Rd,172.5,S Thornton Rd,7,74,28.999999999999996,7436,15127
100030,I-8,172.6,S Thornton Rd,174.5,S Trekell Rd,8,56,32.0,8400,19264
100031,I-8,174.4,S Trekell Rd,177.8,I-8 Exit 178 A-Ramp,7,55,22.0,11154,28041
100063,I-10,0,California State Line - Ehrenberg,0.7,Exit 1 Ehrenberg - Parker Hwy,6,51,39.0,30623,48404
100064,I-10,0.7,Juneau Ave,5.9,Tom Wells Rd,10,53,44.0,27198,42990
100065,I-10,5.8,Tom Wells Rd,12,W Dome Rock Rd,7,59,49.0,24856,39288
100066,I-10,12,W Dome Rock Rd,17.5,SR-10B nonCard (1),7,55,49.0,25764,40724
100067,I-10,17.5,SR-10B nonCard (1),19.9,SR-10B nonCard (1),6,58,43.0,24161,41898
100068,I-10,19.9,SR-10B nonCard (1),26.7,Gold Nugget Rd,8,66,47.0,25358,43974
100069,I-10,26.7,Gold Nugget Rd,31.2,US-60,6,58,45.0,25941,41003
100070,I-10,31.2,US-60,45.4,Vicksburg Rd,11,57,47.0,27536,46178
100071,I-10,45.4,Vicksburg Rd,54,Hovatter Rd,12,57,19.0,27354,43237
100072,I-10,54,Hovatter Rd,69.7,Avenue 75,6,59,42.0,23693,37450
100073,I-10,69.7,Avenue 75,81.2,Salome Hwy,8,53,40.0,25998,43872
100074,I-10,81.2,Salome Hwy,94.2,411th Ave,7,66,39.0,26748,42024
100075,I-10,94.2,411th Ave,98.3,Wintersburg Rd,10,58,22.0,29904,50463
100076,I-10,98.3,Wintersburg Rd,103.5,339th Ave,7,52,36.0,28530,48144
100077,I-10,103.5,339th Ave,109.7,Palo Verde Rd,8,54,21.0,50987,80255
100078,I-10,109.7,Palo Verde Rd,112.8,I-10 Exit 112 C-Ramp,7,54,28.999999999999996,46483,63804
100079,I-10,112.8,I-10 Exit 112 C-Ramp,114.9,Miller Bky Rd,8,63,36.0,41938,57565
100080,I-10,114.9,Miller Bky Rd,117,Watson Rd,9,50,22.0,73401,115536
100081,I-10,117,Watson Rd,120.2,Verrado Way,8,51,19.0,93238,146760
100082,I-10,120.2,Verrado Way,121.7,Jackrabbit Trl,6,53,18.0,115782,182245
100083,I-10,121.7,Jackrabbit Trl,124.7,SR-303,6,55,18.0,114561,157249
100084,I-10,124.7,SR-303,126.7,Estrella Pkwy,7,67,19.0,149915,235971
100085,I-10,126.7,Estrella Pkwy,127.7,Bullard Ave,7,56,18.0,156682,246623
100086,I-10,127.7,Bullard Ave,128.7,Litchfield Rd,7,51,13.0,221538,348709
100087,I-10,128.7,Litchfield Rd,129.7,Dysart Rd,8,51,15.0,222917,350879
100088,I-10,129.7,Dysart Rd,131.7,Avondale Blvd,7,57,13.0,185908,292626
100089,I-10,131.7,Avondale Blvd,133.7,99th Ave,8,64,10.0,190435,299751
100090,I-10,133.7,99th Ave,134.7,91st Ave,7,58,8.0,240059,405100
100091,I-10,134.7,91st Ave,135.7,83rd Ave,6,53,8.0,232427,392221
100092,I-10,135.7,83rd Ave,136.2,79th Ave,7,55,7.000000000000001,289926,456354
100093,I-10,136.2,79th Ave,136.7,75th Ave,7,59,8.0,256934,404423
100094,I-10,136.7,75th Ave,137.7,67th Ave,7,54,7.000000000000001,301673,414083
100095,I-10,137.7,67th Ave,138.7,59th Ave,9,57,9.0,272014,428159
100096,I-10,138.7,59th Ave,139.7,51st Ave,7,58,8.0,230965,363547
100097,I-10,139.7,51st Ave,140.7,43rd Ave,7,53,7.000000000000001,288588,454248
100098,I-10,140.7,43rd Ave,141.7,35th Ave,7,53,6.0,287833,453059
100099,I-10,141.7,35th Ave,142.7,27th Ave,7,57,6.0,283651,446477
100100,I-10,142.7,27th Ave,143.2,I-17,7,51,7.000000000000001,225494,354935
100101,I-10,143.2,I-17,143.7,19th Ave,7,53,19.0,135886,213889
100102,I-10,143.7,19th Ave,144.7,7th Ave,5,67,7.000000000000001,261670,411878
100103,I-10,144.7,7th Ave,144.9,3rd Ave,7,51,7.000000000000001,255652,402405
100104,I-10,144.9,3rd Ave,145.4,3rd St nonCard,7,55,7.000000000000001,257958,406035
100105,I-10,145.4,3rd St nonCard,145.7,7th St,7,52,7.000000000000001,251672,396140
100106,I-10,145.7,7th St,146.7,16th St,7,54,4.0,384286,604880
100107,I-10,146.7,16th St,147.4,Roosevelt Phx St,7,54,9.0,125239,197131
100108,I-10,147.4,Roosevelt Phx St,148.2,Jefferson St,7,54,10.0,147395,232005
100109,I-10,148.2,Jefferson St,148.9,Buckeye Rd,8,57,10.0,174081,274010
100110,I-10,148.9,Buckeye Rd,149.9,24th St,8,52,10.0,151632,238674
100111,I-10,149.9,24th St,151.5,University Dr,7,60,12.0,201674,317442
100112,I-10,151.5,University Dr,152.4,40th St,7,66,5.0,248297,390828
100113,I-10,152.4,40th St,153.2,I-10 Exit 153 A-Ramp,4,57,5.0,237584,373965
100114,I-10,153.2,I-10 Exit 153 A-Ramp,154,I-10 Exit 153 G-Ramp,7,56,8.0,255386,401986
100115,I-10,154,I-10 Exit 153 G-Ramp,154.9,US-60,8,53,9.0,305599,419472
100116,I-10,154.9,US-60,156,Baseline Rd,7,53,8.0,191510,301443
100117,I-10,155.9,Baseline Rd,157.9,Elliot Rd,8,53,6.0,185526,292024
100118,I-10,157.8,Elliot Rd,158.8,Warner Rd,6,56,8.0,213535,336112
100119,I-10,158.8,Warner Rd,159.8,Ray Rd,7,59,11.0,179627,282739
100120,I-10,159.8,Ray Rd,160.8,Chandler Blvd,5,79,9.0,176916,298546
100121,I-10,160.7,Chandler Blvd,162.6,Wild Horse Pass Blvd,7,53,11.0,108055,182343
100122,I-10,162.5,Wild Horse Pass Blvd,164.5,SR-347 nonCard,8,54,14.000000000000002,112237,189400
100123,I-10,164.5,SR-347 nonCard,167.5,Riggs Rd,9,53,28.000000000000004,55081,92949
100124,I-10,167.5,Riggs Rd,175.8,SR-587,8,67,10.0,65404,133050
100125,I-10,175.8,SR-587,185.3,SR-387,9,52,16.0,64885,131995
100126,I-10,185.3,SR-387,190.7,W McCartney Rd,8,53,15.0,50260,115265
100127,I-10,190.7,W McCartney Rd,194.9,SR-287,7,51,15.0,51149,80631
100128,I-10,194.9,SR-287,198.1,SR-84,9,51,20.0,59899,150584
100129,I-10,198.1,SR-84,199.4,I-8,7,54,18.0,55360,139173
100130,I-10,199.4,I-8,200.1,N Sunland Gin Rd,7,64,21.0,50258,115261
100131,I-10,200.1,N Sunland Gin Rd,203.8,N Toltec Hwy (A),9,51,25.0,56804,115556
100132,I-10,203.8,N Toltec Hwy (A),208.8,S Sunshine Blvd,6,51,20.0,53583,84468
100133,I-10,208.8,S Sunshine Blvd,210.9,SR-84,9,53,14.000000000000002,55713,87825
100134,I-10,210.9,SR-87,212.2,Exit 212 Picacho Hwy,7,57,21.0,56891,130473
100135,I-10,212.2,Exit 212 Picacho Hwy,219.8,E Picacho Peak Rd,9,53,25.0,57625,117226
100136,I-10,219.8,E Picacho Peak Rd,226.5,E I-10 Exit 226 Bridge,6,51,13.0,58178,118351
100137,I-10,226.5,E I-10 Exit 226 Bridge,232,E Pinal Airpark Rd,6,51,15.0,51913,119056
100138,I-10,232,E Pinal Airpark Rd,236.4,N Sandario Rd,7,54,16.0,53801,80163
100139,I-10,236.4,N Sandario Rd,240.4,W Tangerine Rd,9,56,19.0,67037,92667
100140,I-10,240.5,W Tangerine Rd,243,W Avra Valley Rd,7,51,15.0,71440,108899
100141,I-10,243,W Avra Valley Rd,244.9,W Twin Peaks Rd,9,52,21.0,48738,74293
102321,I-10,244.9,W Twin Peaks Rd,246.7,N Cortaro Rd,7,66,12.0,100691,139188
100142,I-10,246.7,N Cortaro Rd,248.7,W Ina Rd,7,51,13.0,104575,159408
100143,I-10,248.7,W Ina Rd,250.1,W Orange Grove Rd,7,70,13.0,119828,182658
100144,I-10,250.1,W Orange Grove Rd,251.2,W Sunset Rd,7,61,13.0,132573,202086
100145,I-10,251.2,W Sunset Rd,252.4,W El Camino Del Cerro,8,63,13.0,137096,189511
100146,I-10,252.4,W El Camino Del Cerro,254.3,W Prince Rd,8,65,15.0,117311,162162
100147,I-10,254.3,W Prince Rd,255.3,SR-77,8,54,10.0,181892,277265
100148,I-10,255.3,SR-77,256.2,W Grant Rd,8,58,10.0,192645,293656
100149,I-10,256.2,W Grant Rd,257.3,W Speedway Blvd,9,52,10.0,192839,293952
100150,I-10,257.3,W Speedway Blvd,257.8,W Saint Marys Rd,6,65,9.0,195068,297350
100151,I-10,257.8,W Saint Marys Rd,258.4,W Congress St,8,54,10.0,195388,297837
100152,I-10,258.4,W Congress St,259.3,W 22nd St,8,54,9.0,209269,318997
100153,I-10,259.3,W 22nd St,260.4,I-19 Exit 101 A-Ramp,8,51,8.0,184387,281068
100154,I-10,260.4,I-19 Exit 101 A-Ramp,260.8,I-10 Exit 261 A-Ramp,7,51,9.0,129241,197007
100155,I-10,260.8,I-10 Exit 261 A-Ramp,261.3,I-10 Exit 261 A1-Ramp,8,59,10.0,116068,176927
100156,I-10,261.3,I-10 Exit 261 A1-Ramp,261.6,I-10 Exit 261 G-Ramp,8,59,10.0,116068,176927
100157,I-10,261.6,I-10 Exit 261 G-Ramp,261.9,I-10 Exit 262 G-Ramp,8,58,11.0,108489,165374
100158,I-10,261.9,I-10 Exit 262 G-Ramp,262.3,I-10 Exit 263 A-Ramp,7,59,12.0,112150,170955
100159,I-10,262.3,I-10 Exit 263 A-Ramp,262.8,I-10 Exit 263 G-Ramp,8,51,14.000000000000002,102601,156399
100160,I-10,262.8,I-10 Exit 263 G-Ramp,264.3,E Irvington Rd,9,53,20.0,73502,112042
100161,I-10,264.3,E Irvington Rd,264.5,I-10 Exit 264 B-Ramp,8,53,15.0,81508,115503
100162,I-10,264.6,I-10 Exit 264 B-Ramp,265.1,S Alvernon Way,9,63,20.0,68797,95100
100163,I-10,265.1,S Alvernon Way,267.1,E Valencia Rd,8,53,41.0,80303,122409
100164,I-10,267.1,E Valencia Rd,268.1,S Craycroft Rd,7,54,15.0,77651,118366
100165,I-10,268.1,S Craycroft Rd,269.4,S Wilmot Rd,7,55,13.0,71212,108551
100166,I-10,269.4,S Wilmot Rd,270.6,S Kolb Rd,9,51,16.0,59101,90090
100167,I-10,270.6,S Kolb Rd,273.1,S Rita Rd,9,53,20.0,61218,86751
100168,I-10,273.1,S Rita Rd,275.5,S Houghton Rd,8,57,20.0,46142,70336
100169,I-10,275.5,S Houghton Rd,279.4,S Wentworth Rd,9,54,24.0,44434,61422
100170,I-10,279.4,S Wentworth Rd,281.7,SR-83,7,52,24.0,40230,57009
100171,I-10,281.7,SR-83,291,E Marsh Station Rd,7,52,33.0,30303,45151
100172,I-10,291,E Marsh Station Rd,292.5,S Bell Rd,9,50,28.999999999999996,34342,48665
100173,I-10,292.5,S Bell Rd,297.2,S J Six Ranch Rd,8,64,22.0,34986,49578
100174,I-10,297.2,S J Six Ranch Rd,299.3,W Skyline Rd (A),7,52,22.0,34679,60878
100175,I-10,299.4,W Skyline Rd (A),302.4,SR-90,8,54,23.0,28649,50292
100176,I-10,302.4,SR-90,303.9,I-10 Exit 303 J-Ramp,7,53,23.0,31847,62601
100177,I-10,303.9,I-10 Exit 303 J-Ramp,304.9,N Ocotillo St,7,55,34.0,19985,39284
100178,I-10,304.8,N Ocotillo St,307,SR-10B nonCard,7,50,43.0,16055,31559
100179,I-10,306.7,SR-10B nonCard,312.8,N Sibyl Rd,7,50,33.0,21121,37077
100180,I-10,312.8,N Sibyl Rd,319,E Dragoon Rd,9,54,38.0,21712,38115
100181,I-10,319,E Dragoon Rd,322.6,N Johnson Rd,9,65,40.0,19710,34600
100182,I-10,322.6,N Johnson Rd,331.6,US-191 nonCard,7,52,37.0,20208,35474
100183,I-10,331.6,US-191 nonCard,336.9,SR-10B nonCard,9,56,47.0,20240,35531
100184,I-10,336.9,SR-10B nonCard,340.5,SR-186,7,55,38.0,18866,33119
100185,I-10,340.5,SR-186,344.5,SR-10B nonCard,7,51,36.0,18779,30962
100186,I-10,344.5,SR-10B nonCard,352.4,US-191,7,52,34.0,20048,35194
100187,I-10,352.4,Exit 352 US 191 North,356,Exit 355 US 191 (1) - Luzena,7,56,43.0,16620,29176
100188,I-10,356,Exit 355 US 191 (1) - Luzena,362.9,Exit 362 SB 10 (5) - West end of Bowie,8,53,27.0,18530,32529
100189,I-10,362.9,Exit 362 SB 10 (5) - West end of Bowie,366.8,Exit 366 SB 10 (5) - East end of Bowie,7,54,39.0,15967,28029
100190,I-10,366.8,Exit 366 SB 10 (5) - East end of Bowie,379,Exit 378 SB 10 (5) - West end of San Simon,7,52,44.0,16695,29307
100191,I-10,378.9,Exit 378 SB 10 (5) - West end of San Simon,382.3,Exit 382 SB 10 (5),9,54,51.0,11177,19621
100192,I-10,382.3,Exit 382 SB 10 (5),390.7,N Cavot Rd,7,54,43.0,15737,27626
100193,I-10,390.7,N Cavot Rd,391.1,Interstate 10 EB,8,53,45.0,17418,30577
100325,I-15,0,Nevada State Line - Mesquite,8.6,N Highway 91,9,52,24.0,30162,46658
102332,I-15,8.6,N Highway 91,10.1,Exit 9 Desert Springs,7,56,22.0,32011,49518
100326,I-15,10.1,Exit 9 Desert Springs,18.3,Exit 18 Cedar Pocket,7,50,22.0,31128,51814
100327,I-15,18.3,Exit 18 Cedar Pocket,27.5,Exit 27 Black Rock,8,54,22.0,31387,48553
100328,I-15,27.4,Exit 27 Black Rock,29.4,Utah State Line,10,61,24.0,28774,44511
100333,I-17,193.5,I-10,194.4,16th St,8,50,10.0,108264,170411
100334,I-17,194.6,16th St,195.6,7th St,8,51,10.0,132538,208619
100335,I-17,195.9,7th St,196.9,7th Ave,8,57,12.0,112566,177183
100336,I-17,196.9,7th Ave,198,19th Ave,9,59,10.0,127220,200249
100337,I-17,198,19th Ave,199.2,Grant St,5,54,9.0,132637,208775
100338,I-17,199.2,Grant St,199.7,Adams St,8,59,10.0,115268,181436
100339,I-17,199.7,Adams St,200.6,I-10 nonCard,7,66,10.0,106564,167735
100340,I-17,200.6,I-10,200.9,McDowell Rd,8,65,9.0,75548,118915
100341,I-17,200.9,McDowell Rd,201.9,Thomas Rd,7,61,7.000000000000001,165678,260783
100342,I-17,201.9,Thomas Rd,202.9,Indian School Rd,7,51,6.0,219478,345466
100343,I-17,202.9,Indian School Rd,203.9,Camelback Rd,7,51,5.0,220585,347208
100344,I-17,203.9,Camelback Rd,204.9,Bethany Home Rd,7,51,7.000000000000001,218082,343269
100345,I-17,204.9,Bethany Home Rd,205.9,Glendale Ave,7,51,7.000000000000001,212311,334185
100346,I-17,205.9,Glendale Ave,206.9,Northern Ave,7,50,5.0,213525,336096
100347,I-17,206.9,Northern Ave,208,Dunlap Ave,8,52,7.000000000000001,205996,324245
