Loc ID,Route,BMP,Start,EMP,End,K Factor %,D Factor %,T Factor %,AADT_1-AADT 2021,AADT_2-AADT 2040
100001,I 8,0,California State Line - Yuma,0.5,Exit 1 Giss Parkway,4,51,20.00629789020678,19054.0,25818.0
100002,I 8,0.5,Exit 1 Giss Parkway,2.24,Exit 2 US 95 / 16th St,11,52,15.437125748502995,25050.0,33943.0
100003,I 8,2.24,Exit 2 US 95 / 16th St,3.98,Exit 3 SR 280 / Avenue 3E,4,52,13.839594102093805,41981.0,56884.0
100004,I 8,3.98,Exit 3 SR 280 / Avenue 3E,7.6,Exit 7 Araby Rd,4,56,17.80779605872784,48563.0,65803.0
100005,I 8,7.6,Exit 7 Araby Rd,9.4,Exit 9 SB 8 (1) / Avenue 8 1/2 E - East of Yuma,4,52,13.800174520069808,45840.0,62113.0
100006,I 8,9.4,Exit 9 SB 8 (1) / Avenue 8 1/2 E - East of Yuma,12.22,Exit 12 Fortuna Rd,4,51,14.71283943608667,42276.0,57284.0
100007,I 8,12.22,Exit 12 Fortuna Rd,14.24,Exit 14 Foothills Blvd,11,52,17.440193192966568,26502.0,35910.0
100008,I 8,14.24,Exit 14 Foothills Blvd,21.04,Exit 21 Dome Valley Rd,11,50,22.132395401333405,19049.0,29764.0
100009,I 8,21.04,Exit 21 Dome Valley Rd,30.81,Exit 30 Avenue 29E - Wellton,5,55,23.9181856129122,14374.0,22459.0
100010,I 8,30.81,Exit 30 Avenue 29E - Wellton,37.96,Exit 37 Avenue 36E / Roll Rd,7,66,27.384993139308158,13847.0,21636.0
100011,I 8,37.96,Exit 37 Avenue 36E / Roll Rd,42.08,Exit 42 Avenue 40E - Tacna,8,55,24.891808346213292,12940.0,20219.0
100012,I 8,42.08,Exit 42 Avenue 40E - Tacna,54.96,Exit 54 Avenue 52E / Mohawk Valley Rd,6,55,27.383800410116198,11704.0,18288.0
100013,I 8,54.96,Exit 54 Avenue 52E / Mohawk Valley Rd,67.44,Exit 67 Avenue 64E / Dateland Rd - Dateland,7,65,29.778365189101258,9836.0,15369.0
100014,I 8,67.44,Exit 67 Avenue 64E / Dateland Rd - Dateland,73.48,Exit 73 Avenue 70E / Aztec Rd,5,56,25.67391708496003,10758.0,16809.0
100015,I 8,73.48,Exit 73 Avenue 70E / Aztec Rd,78.47,Exit 78 Avenue 75E / Spot Rd,7,58,24.881989832970223,11016.0,17213.0
100016,I 8,78.47,Exit 78 Avenue 75E / Spot Rd,87.04,Exit 87 Sentinel Rd - Sentinel,8,54,27.07099482719844,13339.0,20957.0
100017,I 8,87.04,Exit 87 Sentinel Rd - Sentinel,102.3,Exit 102 Painted Rock Rd,8,57,20.670693928128873,12912.0,20286.0
